省份,流域,断面名称,监测时间,水质类别,水温<br/><span class='unit'>(℃)</span>,pH<br/><span class='unit'>(无量纲)</span>,溶解氧<br/><span class='unit'>(mg/L)</span>,电导率<br/><span class='unit'>(μS/cm)</span>,浊度<br/><span class='unit'>(NTU)</span>,高锰酸盐指数<br/><span class='unit'>(mg/L)</span>,氨氮<br/><span class='unit'>(mg/L)</span>,总磷<br/><span class='unit'>(mg/L)</span>,总氮<br/><span class='unit'>(mg/L)</span>,叶绿素α<br/><span class='unit'>(mg/L)</span>,藻密度<br/><span class='unit'>(cells/L)</span>,站点情况
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:通州区&#10;所属河流:港沟河'>罗庄</span>,11-04 20:00,Ⅴ,<span data-toggle='tooltip' data-placement='right' title='原始值：10.83'>10.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.575038'>8.58</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.98536'>10.99</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1139.548'>1139.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.761224'>8.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.921'>3.92</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.4601'>0.460</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3241'>0.324</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.9281'>7.93</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:通州区&#10;所属河流:龙凤减河'>小屯桥</span>,11-04 20:00,劣Ⅴ,<span data-toggle='tooltip' data-placement='right' title='原始值：12.39'>12.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.844854'>7.84</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.405099'>5.41</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1138.637'>1138.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：77.27103'>77.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.081'>5.08</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.7141'>0.714</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.4311'>0.431</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.7961'>8.80</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:怀柔区&#10;所属河流:怀柔水库'>怀柔水库</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.13'>13.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.005'>8.00</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.053'>10.05</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：455.491'>455.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.986'>3.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.171'>2.17</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.258'>2.26</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:平谷区&#10;所属河流:泃河'>东店</span>,11-04 20:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.66'>13.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.011'>8.01</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.716'>8.72</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：545.767'>545.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：26.989'>27.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.711'>4.71</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1641'>0.164</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0741'>0.074</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.1481'>4.15</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:密云区&#10;所属河流:密云水库'>密云水库</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.71'>15.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.0277'>8.03</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.424'>8.42</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：435.45'>435.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.56'>2.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.701'>2.70</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.62'>2.62</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:密云区&#10;所属河流:白河'>大关桥</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.42'>15.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.2073'>8.21</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.17'>10.17</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：397.53'>397.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.02'>3.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.041'>3.04</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.7361'>2.74</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:密云区&#10;所属河流:潮河'>辛庄桥</span>,11-04 20:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：12.11'>12.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.274523'>8.27</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.0889'>10.09</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：602.899'>602.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.180514'>6.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.351'>1.35</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.9261'>9.93</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:延庆区&#10;所属河流:妫水河'>谷家营</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.15'>13.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.449'>8.45</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：11.148'>11.15</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：609.523'>609.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：14.796'>14.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.241'>3.24</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.061'>0.061</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.786'>4.79</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:河北区&#10;所属河流:海河'>三岔口</span>,11-04 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.24'>15.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.9216'>7.92</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.154'>7.15</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：838.7112'>838.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.28'>7.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.61'>1.61</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.23'>0.230</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0452'>0.045</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.2721'>2.27</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:河北区&#10;所属河流:北运河'>北洋桥</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.41'>14.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.721'>8.72</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：13.48'>13.48</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：583.2'>583.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.35'>9.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.8'>3.80</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.049'>0.049</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.912'>1.91</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:红桥区&#10;所属河流:南运河'>井冈山桥</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.89'>14.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.917179'>7.92</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.524299'>7.52</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：901.073'>901.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：15.20426'>15.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.191'>3.19</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3201'>0.320</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0511'>0.051</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.0791'>2.08</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:红桥区&#10;所属河流:子牙河'>大红桥</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.45'>17.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.987484'>7.99</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.4576'>8.46</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：567.655'>567.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.399555'>6.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.291'>2.29</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0981'>0.098</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.6691'>1.67</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:西青区&#10;所属河流:南水北调天津段'>曹庄子泵站</span>,11-04 20:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.75'>17.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.314'>8.31</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.659'>9.66</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：266.59'>266.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.54'>3.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.711'>1.71</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.108'>0.108</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.68'>1.68</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:津南区&#10;所属河流:洪泥河'>生产圈闸</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.18'>14.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.109098'>8.11</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.751218'>9.75</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1388.941'>1388.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：12.51251'>12.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.441'>3.44</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.4441'>0.444</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0641'>0.064</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.9461'>2.95</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:武清区&#10;所属河流:北运河'>土门楼</span>,11-04 20:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.5'>14.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.050962'>8.05</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.902282'>7.90</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1017.88'>1017.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：25.89592'>25.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.241'>4.24</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.2161'>0.216</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.2541'>0.254</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.0681'>7.07</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:宝坻区&#10;所属河流:尔王庄水库'>尔王庄泵站</span>,11-04 20:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.59'>14.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.933141'>7.93</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.618014'>8.62</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：292.156'>292.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.70905'>4.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.741'>1.74</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.5711'>1.57</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:宝坻区&#10;所属河流:潮白新河'>大套桥</span>,11-04 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.721'>13.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.527'>8.53</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.455'>10.46</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：648.455'>648.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：22.974'>23.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.075'>6.08</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.061'>0.061</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.105'>0.105</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.266'>5.27</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:宝坻区&#10;所属河流:潮白新河'>黄白桥</span>,11-04 20:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：12.67'>12.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.3523'>8.35</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.71'>10.71</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：707.269'>707.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：22.54'>22.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.34'>5.34</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.084'>0.084</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.044'>0.044</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.198'>4.20</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:滨海新区&#10;所属河流:海河'>海河大闸</span>,11-04 20:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.46'>15.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.5099'>8.51</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.6751'>10.68</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3694.474'>3694.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：40.8932'>40.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.852'>5.85</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3016'>0.302</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0785'>0.078</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.1236'>3.12</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:滨海新区&#10;所属河流:北排河'>北排水河防潮闸</span>,11-04 20:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.99'>16.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.1655'>8.17</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.67'>7.67</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2894.4'>2894.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：32.6234'>32.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.9214'>6.92</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1202'>0.120</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0648'>0.065</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.0957'>3.10</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:滨海新区&#10;所属河流:沧浪渠'>沧浪渠出境</span>,11-04 20:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.74'>13.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.4405'>8.44</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：12.25'>12.25</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5517.1'>5517.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：29.52'>29.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.359'>7.36</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0647'>0.065</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.8187'>3.82</span>,*,*,正常
