省份,流域,断面名称,监测时间,水质类别,水温<br/><span class='unit'>(℃)</span>,pH<br/><span class='unit'>(无量纲)</span>,溶解氧<br/><span class='unit'>(mg/L)</span>,电导率<br/><span class='unit'>(μS/cm)</span>,浊度<br/><span class='unit'>(NTU)</span>,高锰酸盐指数<br/><span class='unit'>(mg/L)</span>,氨氮<br/><span class='unit'>(mg/L)</span>,总磷<br/><span class='unit'>(mg/L)</span>,总氮<br/><span class='unit'>(mg/L)</span>,叶绿素α<br/><span class='unit'>(mg/L)</span>,藻密度<br/><span class='unit'>(cells/L)</span>,站点情况
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:通州区&#10;所属河流:港沟河'>罗庄</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：11.66'>11.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.563235'>8.56</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.56485'>10.56</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1136.521'>1136.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.01005'>10.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.781'>3.78</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3581'>0.358</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.2541'>0.254</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.7421'>7.74</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:通州区&#10;所属河流:龙凤减河'>小屯桥</span>,11-05 16:00,Ⅴ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.14'>13.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.879074'>7.88</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.365508'>5.37</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1135.567'>1135.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：59.65035'>59.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.941'>4.94</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.4511'>0.451</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3861'>0.386</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.4051'>8.41</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:怀柔区&#10;所属河流:怀柔水库'>怀柔水库</span>,11-05 16:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.38'>13.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.9833'>7.98</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.822'>9.82</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：467.242'>467.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.23'>3.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.911'>1.91</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.564'>2.56</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:平谷区&#10;所属河流:泃河'>东店</span>,11-05 16:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.98'>14.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.083'>8.08</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.575'>9.58</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：561.275'>561.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：26.839'>26.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.831'>4.83</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0711'>0.071</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.3551'>4.36</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:密云区&#10;所属河流:密云水库'>密云水库</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.92'>15.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.0747'>8.07</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.687'>8.69</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：433.51'>433.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.49'>5.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.801'>2.80</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.632'>2.63</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:密云区&#10;所属河流:白河'>大关桥</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.51'>15.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.1924'>8.19</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.8'>9.80</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：397.64'>397.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.31'>3.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.011'>3.01</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.7391'>2.74</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:密云区&#10;所属河流:潮河'>辛庄桥</span>,11-05 16:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：12.16'>12.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.336398'>8.34</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：11.07731'>11.08</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：603.974'>604.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.110173'>6.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.401'>1.40</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.0191'>10.02</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:延庆区&#10;所属河流:妫水河'>谷家营</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.64'>15.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.475'>8.48</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：11.035'>11.04</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：563.536'>563.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：11.651'>11.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.311'>3.31</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.047'>0.047</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.814'>4.81</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:河北区&#10;所属河流:海河'>三岔口</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.11'>15.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.0984'>8.10</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.779'>8.78</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：829.2387'>829.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：13.313'>13.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.2'>1.20</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.21'>0.210</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.087'>0.087</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.3121'>2.31</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:河北区&#10;所属河流:北运河'>北洋桥</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.21'>14.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.647'>8.65</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：12.81'>12.81</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：569.4'>569.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.25'>8.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.82'>3.82</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.04'>0.040</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.043'>0.043</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.761'>1.76</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:红桥区&#10;所属河流:南运河'>井冈山桥</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.89'>14.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.908351'>7.91</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.306698'>7.31</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：923.496'>923.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：16.36415'>16.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.211'>3.21</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3951'>0.395</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0521'>0.052</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.1831'>2.18</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:红桥区&#10;所属河流:子牙河'>大红桥</span>,11-05 16:00,Ⅱ,--,<span data-toggle='tooltip' data-placement='right' title='原始值：7.696766'>7.70</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.551052'>8.55</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：523.481'>523.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.672524'>6.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.221'>2.22</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1061'>0.106</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.6481'>1.65</span>,*,*,维护
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:西青区&#10;所属河流:南水北调天津段'>曹庄子泵站</span>,11-05 16:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.77'>17.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.334'>8.33</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.491'>9.49</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：265.36'>265.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.85'>2.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.681'>1.68</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.09'>0.090</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.683'>1.68</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:津南区&#10;所属河流:洪泥河'>生产圈闸</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.19'>14.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.052795'>8.05</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.933021'>8.93</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1355.643'>1355.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：13.8178'>13.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.491'>3.49</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.4081'>0.408</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0511'>0.051</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.8101'>2.81</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:武清区&#10;所属河流:北运河'>土门楼</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.01'>15.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.476349'>8.48</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：12.68404'>12.68</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1002.317'>1002.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：19.44377'>19.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.771'>4.77</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.2581'>0.258</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.2991'>0.299</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.7291'>6.73</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:宝坻区&#10;所属河流:尔王庄水库'>尔王庄泵站</span>,11-05 16:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.8'>14.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.946629'>7.95</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.737652'>8.74</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：293.037'>293.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.209536'>4.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.701'>1.70</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.005'>0.005</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.5481'>1.55</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:宝坻区&#10;所属河流:潮白新河'>大套桥</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.821'>13.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.472'>8.47</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.456'>10.46</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：648.235'>648.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：26.474'>26.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.346'>6.35</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.074'>0.074</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.098'>0.098</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.106'>5.11</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:宝坻区&#10;所属河流:潮白新河'>黄白桥</span>,11-05 16:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：12.78'>12.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.4673'>8.47</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：11.11'>11.11</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：719.741'>719.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：23.07'>23.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.12'>5.12</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.117'>0.117</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.046'>0.046</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.338'>4.34</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:滨海新区&#10;所属河流:海河'>海河大闸</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：16.09'>16.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.579'>8.58</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：12.2541'>12.25</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4116.301'>4116.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：35.6451'>35.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.794'>6.79</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.3086'>0.309</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0796'>0.080</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.3032'>3.30</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:滨海新区&#10;所属河流:北排河'>北排水河防潮闸</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.89'>15.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.3517'>8.35</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.12'>10.12</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7057.5'>7057.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：46.4141'>46.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.3502'>7.35</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0457'>0.046</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.077'>0.077</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.8616'>3.86</span>,*,*,正常
天津市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:滨海新区&#10;所属河流:沧浪渠'>沧浪渠出境</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：14.57'>14.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.4656'>8.47</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：12.79'>12.79</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6780.9'>6780.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：29.31'>29.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.181'>7.18</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0647'>0.065</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0599'>0.060</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.89'>3.89</span>,*,*,正常
